id,title,authors,year,venue,source_url,system_dynamics,relative_degree,safety_representation,rl_type,cbf_type,optimization_type,hard_or_expected_safety,input_limits_handled,sampling_delay_handled,multi_obstacle_handled,sensor_uncertainty_handled,energy_considered,complexity,theoretical_guarantee,experiment,limitations,direct_relevance,novelty_overlap
13,"Safety of Sampled-Data Systems with Control Barrier Functions via Approximate Discrete Time Models","Schilliger et al.",2022,"CDC","https://doi.org/10.1109/CDC51059.2022.9993226","sampled nonlinear systems","discrete model","approximate discrete-time barrier","none","discrete/sample CBF","constrained optimization","pointwise sampled-time plus intersample model error","yes","yes","not central","model error bounded","no","depends on model and optimizer","safety given approximate-model error bounds","numerical examples","needs certified model-error bound","physics integration correction","high"
14,"Robust Control Barrier Functions for Sampled-Data Systems","Oruganti et al.",2024,"IEEE L-CSS","https://doi.org/10.1109/LCSYS.2023.3346311","sampled nonlinear systems","application dependent","robust sampled-data safe set","none","robust sampled-data CBF","online optimization","pointwise sampled-data","yes","yes","not central","bounded disturbances","no","robust-margin construction plus online solve","invariance under bounded uncertainty and sampling","simulation","bound quality controls conservatism","delay/noise margin","high"
15,"Zero-Order Control Barrier Functions for Sampled-Data Systems with State and Input Dependent Safety Constraints","Tan et al.",2025,"ACC","https://arxiv.org/abs/2411.17079","discrete/sample systems","not derivative based","zero-order difference condition","none","ZOCBF","constrained optimization","sampled-data","yes","yes","yes","state/input uncertainty can be bounded","no","online constraint without repeated derivatives","sampled-data safety under ZOCBF condition","numerical examples","different contract from continuous HOCBF","alternative sampled-data baseline","medium-high"
16,"Learning for Layered Safety-Critical Control with Predictive Control Barrier Functions","Compton Cohen and Ames",2025,"L4DC","https://proceedings.mlr.press/v283/compton25a.html","layered reduced/full dynamics","application dependent","predictive barrier residual","learning-based controller","predictive CBF","QP/filter","conditional pointwise","yes","indirect through prediction horizon","yes","model mismatch learned","no","prediction plus online QP","safety conditional on predictive error assumptions","robotic examples","requires representative mismatch data","layered policy/filter mismatch","medium-high"
17,"Safe and Efficient Reinforcement Learning using Disturbance-Observer-Based Control Barrier Functions","Cheng Zhao and Hovakimyan",2023,"L4DC","https://proceedings.mlr.press/v211/cheng23a.html","uncertain control-affine","application dependent","robust safe set","off-policy RL with filter","DOB-CBF","QP","pointwise conditional on observer bounds","yes","observer dynamics considered","yes","disturbance uncertainty","no","observer plus QP","safety under bounded estimation error","continuous-control benchmarks","requires valid disturbance assumptions","robust safety baseline","high"
18,"Barrier Bayesian Linear Regression: Online Learning of Control Barrier Conditions for Safety-Critical Control of Uncertain Systems","Brunke Zhou and Schoellig",2022,"L4DC","https://proceedings.mlr.press/v168/brunke22a.html","uncertain control-affine","application dependent","probabilistic barrier condition","online model learning","probabilistic learned CBF","chance-constrained QP","high-probability conditional","yes","not central","yes","epistemic uncertainty","no","Bayesian update plus QP","probabilistic CBF condition under model assumptions","robot control","not raw perception noise guarantee","uncertainty-aware baseline","medium-high"
19,"Learning for Safety-Critical Control with Control Barrier Functions","Taylor et al.",2020,"L4DC","https://proceedings.mlr.press/v120/taylor20a.html","uncertain control-affine","application dependent","learned CBF model residual","learning-based control","learned robust CBF","QP","conditional pointwise","yes","not central","yes","model uncertainty learned","no","learner plus QP","safety conditional on bounded learned error","robotics experiments","requires error bound","model-error safety filter","high"
20,"Reinforcement Learning for Safety-Critical Control under Model Uncertainty using CLFs and CBFs","Cheng et al.",2020,"RSS","https://doi.org/10.15607/RSS.2020.XVI.088","uncertain nonlinear dynamics","application dependent","CLF/CBF constraints","model-based RL","robust CLF-CBF","QP","conditional pointwise","yes","not central","yes","model uncertainty","no","online QP plus learning","safety under bounded model error","robot experiments/simulation","not perception or sampled-data complete","RL plus external barrier","high"
21,"Model-based Reinforcement Learning with Provable Safety Guarantees via Control Barrier Functions","Emam et al.",2021,"ICRA","https://doi.org/10.1109/ICRA48506.2021.9561253","unknown control-affine","application dependent","CBF safe set","model-based RL","learned-model CBF","QP","conditional pointwise","yes","not central","limited","model uncertainty","no","model learning plus QP","safety under learned-model confidence assumptions","robotics simulation","requires confidence validity","safe model-learning baseline","medium-high"
22,"Learning Control Barrier Functions from Expert Demonstrations","Robey et al.",2020,"CDC","https://arxiv.org/abs/2004.03315","nonlinear control systems","application dependent","demonstration-consistent safe set","supervised certificate learning","learned CBF","offline constrained learning plus online control","conditional pointwise","yes","no","possible","demonstration uncertainty","no","offline optimization plus online filter","CBF validity on covered domain under assumptions","robotics tasks","coverage and expert labels required","learned CBF context","medium"
23,"Safe Nonlinear Control Using Robust Neural Lyapunov-Barrier Functions","Dawson et al.",2022,"CoRL","https://proceedings.mlr.press/v164/dawson22a.html","nonlinear uncertain systems","application dependent","neural Lyapunov-barrier","learning-based control","robust neural barrier","neural control/optimization","conditional pointwise","yes","not central","possible","bounded model error","no","offline neural training; cheap evaluation","robust certificate under validation assumptions","robotic simulations","global verification difficult","learned-certificate comparison","medium"
24,"Safe Control using Vision-based Control Barrier Function","Liu et al.",2023,"ICRA","https://doi.org/10.1109/ICRA48891.2023.10160805","vision-observed robotic dynamics","application dependent","vision-based learned barrier","learning-based control","V-CBF","online safety controller","conditional pointwise","yes","not central","yes","perception learning","no","vision inference plus control solve","conditional on learned visual barrier validity","robotics experiments","distribution shift and calibration","perception-to-CBF relevance","high"
25,"Point Cloud-Based Control Barrier Function Regression for Safe and Efficient Vision-Based Control","Dai et al.",2024,"ICRA","https://doi.org/10.1109/ICRA57147.2024.10610647","point-cloud observed dynamics","application dependent","point-cloud CBF regression","learning-based control","learned point-cloud CBF","inference plus safety optimization","conditional pointwise","yes","not central","yes","perception uncertainty limited","no","point-cloud encoder plus online control","conditional on learned barrier accuracy","robotics tasks","no deterministic noisy-LiDAR guarantee","1024-ray perception compression","high"
26,"Learning Safe Control via On-the-Fly Bandit Exploration","Capone et al.",2025,"ICML","https://proceedings.mlr.press/v267/capone25a.html","uncertain dynamics","application dependent","robust CBF safe set","safe online learning","robust learned CBF","information-seeking safe control","high-probability/conditional","yes","not central","possible","epistemic uncertainty","no","online estimation plus optimization","safe learning under structural assumptions","control benchmarks","different information-acquisition objective","safe adaptation context","low-medium"
27,"ATOM-CBF: Adaptive Safe Perception-Based Control under Out-of-Distribution Measurements","Yun and Azizan",2026,"L4DC","https://proceedings.mlr.press/v331/yun26a.html","perception-based control","application dependent","adaptive uncertainty-inflated barrier","adaptive safety control","perception-aware robust CBF","online adaptation plus filter","conditional/high-probability","yes","delay not central","yes","yes including OOD","no","perception inference/adaptation plus solve","safety conditional on uncertainty model","LiDAR/RGB tasks","newest work; assumptions need matching","LiDAR noise/dropout stage","very high for adaptive perception margin"
28,"System-level safety guard: Safe tracking control through uncertain neural network dynamics models","Li et al.",2024,"L4DC","https://proceedings.mlr.press/v242/li24a.html","full/reduced uncertain dynamics","application dependent","tracking safety guard","learning-based tracking","robust system-level CBF","online filter","conditional pointwise","yes","layered model timing considered indirectly","not central","model uncertainty","no","model inference plus optimization","tracking safety under bounded mismatch","robotics tasks","not dense obstacle geometry","layered nominal/safe execution","medium"
29,"Constrained Policy Optimization","Achiam et al.",2017,"ICML","https://proceedings.mlr.press/v70/achiam17a.html","CMDP","not applicable","expected discounted cost budget","on-policy CMDP","none","trust-region constrained policy update","expected safety","action limits via policy","discrete interaction only","through observations","statistical policy uncertainty","possible cost only","second-order policy optimization","near-constraint satisfaction bound per update under approximations","MuJoCo safety tasks","not pointwise collision invariance","CMDP baseline","low formula overlap; key comparison"
30,"First Order Constrained Optimization in Policy Space","Zhang Vuong and Ross",2020,"NeurIPS","https://proceedings.neurips.cc/paper/2020/hash/af5d5ef24881f3c3049a7b9bfe74d58b-Abstract.html","CMDP","not applicable","expected cost budget","on-policy CMDP","none","first-order primal update","expected safety","through bounded policy","discrete","through observation encoder","statistical","possible cost only","first-order policy optimization","convergence/constraint results under assumptions","continuous-control CMDPs","not pointwise safe","primary CMDP baseline","low formula overlap"
31,"Responsive Safety in Reinforcement Learning by PID Lagrangian Methods","Stooke Achiam and Abbeel",2020,"ICML","https://proceedings.mlr.press/v119/stooke20a.html","CMDP","not applicable","expected cost budget","on/off-policy Lagrangian","none","PID dual optimization","expected safety","through policy","discrete","through observation","statistical","possible cost only","standard RL plus PID dual","empirical responsive constraint control","benchmark tasks","dual tuning; no invariance","practical CMDP baseline","low formula overlap"
32,"Constrained Variational Policy Optimization for Safe Reinforcement Learning","Liu et al.",2022,"ICML","https://proceedings.mlr.press/v162/liu22b.html","CMDP","not applicable","expected cost constraint","on-policy CMDP","none","variational constrained update","expected safety","through policy","discrete","through observation","statistical","possible cost","policy optimization","theoretical monotonic/improvement properties under assumptions","safe RL benchmarks","not pointwise","high-quality CMDP baseline","low formula overlap"
33,"Reachability Constrained Reinforcement Learning","Yu et al.",2022,"ICML","https://proceedings.mlr.press/v162/yu22d.html","MDP with reachability dynamics","not applicable","state-wise reachability constraint","off-policy safe RL","reachability value not CBF","actor-critic constrained by reachability","state-wise/model-dependent","through action space","discrete","through observation","function approximation uncertainty","possible budget extension","multiple learned networks","state-wise feasibility semantics under stated assumptions","safe-control benchmarks","global approximation/convergence not deterministic","stronger learned-safety baseline","medium conceptual overlap"
34,"CRPO: A New Approach for Safe Reinforcement Learning with Convergence Guarantee","Xu Liang and Lan",2021,"ICML","https://proceedings.mlr.press/v139/xu21a.html","CMDP","not applicable","expected cost constraints","policy gradient CMDP","none","objective switching","expected safety","through policy","discrete","through observation","statistical","multiple costs supported","first-order policy updates","finite-time convergence under tabular/function assumptions","CMDP benchmarks","not pointwise deployment safety","alternative baseline","low"
35,"Safe Policy Learning for Continuous Control","Chow et al.",2021,"CoRL","https://proceedings.mlr.press/v155/chow21a.html","continuous-control CMDP","not applicable","Lyapunov-induced feasible action/policy set","safe policy optimization","Lyapunov safety layer","action/policy projection","expected or state-dependent conditional","yes","discrete MDP","through observation","model/value uncertainty","cost budget","projection per action/update","safety under valid Lyapunov function and model assumptions","continuous-control tasks","learned-model and value errors","closest safe-action projection RL baseline","medium-high"
36,"Safe Reinforcement Learning Using Advantage-Based Intervention","Wagener Boots and Cheng",2021,"ICML","https://proceedings.mlr.press/v139/wagener21a.html","MDP","not applicable","chance-constrained intervention rule","off-policy safe RL","none","advantage-based shield","chance/expected","through policy/intervention","discrete","through observation","learned uncertainty","possible cost","extra intervention critic","safety under intervention assumptions","safe RL tasks","no physical invariance","shield comparison","medium"
37,"Saute RL: Almost Surely Safe Reinforcement Learning Using State Augmentation","Sootla et al.",2022,"ICML","https://proceedings.mlr.press/v162/sootla22a.html","budgeted MDP","not applicable","remaining-budget augmented state","model-free RL","none","standard RL in augmented MDP","almost-sure budget semantics under assumptions","through policy","discrete","through observation","statistical","yes budget/resource","standard RL with augmented state","budget-safety equivalence under construction","safe RL benchmarks","does not enforce geometric pointwise collision set","energy-CMDP comparison","medium conceptual overlap"
38,"Recovery RL: Safe Reinforcement Learning with Learned Recovery Zones","Thananjeyan et al.",2021,"IEEE RAL","https://arxiv.org/abs/2010.15920","MDP","not applicable","learned recovery set","off-policy safe RL","none","policy switching/intervention","empirical/model-dependent","through actions","discrete","through observation","learned critic uncertainty","no","multiple critics/policies","no deterministic guarantee with approximation","robotics benchmarks","recovery architecture abandoned in this project","historical shield baseline only","low"
39,"Safe Reinforcement Learning with Chance-constrained Model Predictive Control","Pfrommer et al.",2022,"L4DC","https://proceedings.mlr.press/v168/pfrommer22a.html","stochastic dynamics","prediction horizon","chance-constrained safe trajectory","model-based safe RL","none","chance-constrained MPC plus policy gradient","probabilistic","yes","receding-horizon sampling","yes","model uncertainty","possible costs","iterative MPC per control step","chance safety under model assumptions","continuous-control tasks","heavier compute and model reliance","MPC safety-filter baseline","medium"
40,"Safe Reinforcement Learning in Constrained Markov Decision Processes","Wachi and Sui",2020,"ICML","https://proceedings.mlr.press/v119/wachi20a.html","structured CMDP","not applicable","unknown safe state/action region","safe exploration RL","none","optimistic/pessimistic exploration","high-probability","yes under assumptions","discrete","through state features","confidence sets","resource costs possible","sample complexity dependent on state/action structure","safe exploration guarantees under smoothness/ergodicity assumptions","tabular/structured tasks","assumptions do not match raw 3D continuous control directly","safe-learning context","low"
41,"Constraint-Aware Reinforcement Learning via Adaptive Action Scaling","Dawood et al.",2026,"L4DC","https://proceedings.mlr.press/v331/dawood26a.html","continuous-control MDP","not applicable","constraint-aware scaled action","off-policy constrained RL","none","closed-form/adaptive action scaling","expected/empirical","yes","discrete","through observation","learned cost uncertainty","possible","cheap per-action scaling","constrained performance under method assumptions","continuous-control benchmarks","not geometric forward invariance","lightweight projection competitor","medium"
42,"Sampling-based Safe Reinforcement Learning for Nonlinear Dynamical Systems","Suttle et al.",2024,"AISTATS","https://proceedings.mlr.press/v238/suttle24a.html","nonlinear dynamical systems","application dependent","sampled safe action sets","sampling-based RL","barrier-compatible sampling","safe action sampling","hard under stated system assumptions","yes","sampled controller considered","possible","model assumptions","no","cost grows with action samples","hard-safety and RL convergence under assumptions","quadcopter obstacle avoidance","sampling burden and model knowledge","required non-projection baseline","high conceptual challenge to projection"
43,"Persistification of Robotic Tasks Using Control Barrier Functions","Notomista Ruf and Egerstedt",2018,"IEEE RAL","https://doi.org/10.1109/LRA.2018.2789848","robot energy dynamics plus motion","application dependent","battery sufficiency safe set","none","energy CBF","QP minimal intervention","pointwise continuous-time","yes","no","possible","no","yes","QP with energy and task constraints","energy-persistence invariance under assumptions","robot experiments","energy model/charger knowledge required","battery-returnability barrier","very high: direct Candidate C overlap"
44,"Persistification of Robotic Tasks","Notomista and Egerstedt",2021,"IEEE TCST","https://doi.org/10.1109/TCST.2020.2978913","robot task and energy dynamics","application dependent","persistent feasibility constraints","none","constraint-based persistification","online optimization","pointwise conditional","yes","no","multiple task constraints","no","yes","online constrained control","persistent-task properties under assumptions","robotics examples","not learned energy uncertainty","high-level energy viability","very high for Candidate C semantics"
45,"Energy Sufficiency in Unknown Environments via Control Barrier Functions","Fouad Varadharajan and Beltrame",2023,"arXiv primary manuscript","https://arxiv.org/abs/2306.15115","robot navigation and battery","application dependent","energy-sufficiency barrier","planner plus safety layer","energy CBF","online constrained control","pointwise conditional","yes","not central","environment obstacles indirect","unknown-map estimation","yes","online barrier solve","return-energy sufficiency under assumptions","mobile-robot simulations/experiments","learned/map uncertainty limits guarantee","return-to-charger energy barrier","very high direct overlap"
46,"Persistent Object Search and Surveillance Control With Safety Certificates for Drone Networks Based on Control Barrier Functions","Dan et al.",2021,"Frontiers in Robotics and AI","https://doi.org/10.3389/frobt.2021.740460","multi-drone dynamics","mixed","collision charging and task certificates","none","multiple CBFs","QP","pointwise continuous-time conditional","yes","no","yes","no","yes","multi-constraint QP","certificate-based collision/charging properties","drone simulations","different dynamics and no learned return energy","collision plus charging UAV","very high system-level overlap"
47,"A Novel Safety-Aware Energy Tank Formulation Based on Control Barrier Functions","Michel Saveriano and Lee",2024,"IEEE RAL","https://iris.unitn.it/retrieve/65851528-21fe-49c5-8577-bb150f776aed/A_Novel_Safety-Aware_Energy_Tank_Formulation_Based_on_Control_Barrier_Functions.pdf","robot/passivity energy tank","higher-order depending on tank","energy/power safe set","none","energy-tank CBF/HOCBF","QP","pointwise conditional","yes","no","multiple constraints possible","no","yes","QP","energy-tank safety under assumptions","robot experiments","tank/passivity energy differs from battery return cost","quadratic energy constraint precedent","high for generic energy-CBF claim"
48,"Energy-Aware Collision-Free Information Gathering for Heterogeneous Robot Teams","Cai et al.",2023,"IEEE TRO","https://existentialrobotics.org/ref/Cai_NonmonotoneInfoGathering_TRO23.pdf","heterogeneous robot dynamics","application dependent","collision ECBFs plus energy-aware planning","planning/control","ECBF","mixed-integer/planning plus online control","pointwise collision conditional","yes","not central","yes","no","yes","planning combinatorics plus barrier control","collision safety under ECBF feasibility","multi-robot simulations/experiments","different task and energy semantics","energy plus collision co-design","high system-combination overlap"
49,"Robot Ecology: Constraint-Based Control Design for Long Duration Autonomy","Notomista et al.",2018,"Annual Reviews in Control","https://doi.org/10.1016/j.arcontrol.2018.09.006","robot networks and resources","mixed","constraint-based long-duration autonomy","none","CBF/task constraints","online optimization","pointwise conditional","yes","no","yes","no","yes","application-dependent QPs","properties conditional on feasible resource/task constraints","robotics examples","broad framework not exact UAV implementation","long-duration energy context","high conceptual overlap"
