id,year,paper,cluster,primary_source,reading_depth,memory_or_message,update_semantics,grounding_or_structure,downstream_use,theory_relevant_to_candidate,closest_overlap
P15,2021,Fast and Slow Learning of Recurrent Independent Mechanisms,modular_memory,https://arxiv.org/abs/2105.08710,method,"fast and slow RIM modules","timescale-separated recurrent updates","modular temporal specialization","sequence modeling","empirical generalization","dual-timescale modular memory"
P16,2020,Object-Centric Learning with Slot Attention,object_memory,https://arxiv.org/abs/2006.15055,full,"exchangeable object slots","iterative competitive attention followed by slot-wise GRU update","object binding and permutation symmetry","object discovery/property prediction","no temporal control theorem","canonical object-slot mechanism"
P17,2022,SlotFormer: Unsupervised Visual Dynamics Simulation with Object-Centric Models,object_memory,https://arxiv.org/abs/2210.05861,full,"temporally propagated object slots","Transformer dynamics over slot sequences","slot reconstruction and future video prediction","rollout prediction","no safety/control sufficiency theorem","object slots plus temporal dynamics"
P18,2023,An Investigation into Pre-Training Object-Centric Representations for Reinforcement Learning,object_memory,https://arxiv.org/abs/2302.04419,abstract+method,"pretrained object slots","frozen or fine-tuned object encoder","object reconstruction/pretraining","RL policy","empirical transfer limits","warns object slots do not automatically help control"
P19,2023,FOCUS: Object-Centric World Models for Robotics Manipulation,object_memory,https://arxiv.org/abs/2307.02427,full,"RSSM latent plus object-conditioned latents","recurrent state-space update","object mask/reconstruction and object entropy","imagined actor-critic control","empirical only","object-grounded world model for control"
P20,2025,Object-Centric World Models from Few-Shot Annotations for Sample-Efficient Reinforcement Learning,object_memory,https://arxiv.org/abs/2501.16443,abstract+method,"annotated object feature memories in a world model","latent dynamics rollout","few-shot object masks and dynamics prediction","imagined policy learning","empirical only","strong recent object-centric RL baseline"
P21,2025,Object-Centric World Model for Language-Guided Manipulation,object_memory,https://arxiv.org/abs/2503.06170,abstract+method,"language-conditioned object slots","action/language-conditioned latent transition","object reconstruction and language conditioning","manipulation policy","empirical only","typed goal-conditioned object memory"
P22,2025,Dyn-O: Building Structured World Models with Object-Centric Representations,object_memory,https://arxiv.org/abs/2507.03298,abstract,"structured object state","learned object dynamics","object-centric predictive objective","planning/control","no certified routing","recent structured world-model overlap"
P23,2026,Better Slots Better Worlds: Representation Quality and Robustness in Object-Centric World Models,object_memory,https://arxiv.org/abs/2608.12078,abstract,"object slots","world-model dynamics over slots","slot quality metrics plus planning","visual MPC","controlled empirical link between slot quality and planning; no guarantee","latest evidence that slot quality can saturate"
P24,2026,Slot-MPC: Goal-Conditioned Model Predictive Control with Object-Centric Representations,object_memory,https://arxiv.org/abs/2605.14937,abstract,"goal-conditioned object slots","action-conditioned object dynamics","object structure for differentiable planning","gradient-based MPC","no hard-safety separation theorem","closest recent object slots to control"
P25,2025,When Object-Centric World Models Meet Policy Learning: From Pixels to Policies and Where It Breaks,object_memory,https://arxiv.org/abs/2511.06136,abstract,"object-centric world state","learned dynamics and downstream policy","diagnostic of representation-policy mismatch","policy learning","failure analysis rather than guarantee","direct warning against representation-only claims"
P26,2025,Learning Interactive World Model for Object-Centric Reinforcement Learning,object_memory,https://arxiv.org/abs/2511.02225,abstract,"object and interaction modules","factored interaction updates","interaction-structured world modeling","hierarchical policy","empirical compositionality","object modules plus explicit interaction graph"
P27,2020,Self-supervised Visual Reinforcement Learning with Object-centric Representations,object_memory,https://arxiv.org/abs/2011.14381,abstract+method,"object-centric visual latent","per-frame object encoding","self-supervised object objectives","RL policy","empirical only","object representations used directly by policy"
P28,2020,Improving Generative Imagination in Object-Centric World Models,object_memory,https://arxiv.org/abs/2010.02054,abstract+method,"object-wise latent state","generative temporal update","object reconstruction and rollout likelihood","world-model imagination","no control guarantee","early object-centric temporal model"
P29,2023,Relational Object-Centric Actor-Critic,object_memory,https://arxiv.org/abs/2310.17178,abstract,"object entities and relations","relational aggregation per decision","object relation inductive bias","actor-critic","empirical only","object-to-policy routing"
P30,2024,Efficient Exploration and Discriminative World Model Learning with an Object-Centric Abstraction,object_memory,https://arxiv.org/abs/2408.11816,abstract,"object abstraction","world-model updates","discriminative object objective","exploration and control","empirical only","object memory tied to exploration"
P31,2026,HCLSM: Hierarchical Causal Latent State Machines for Object-Centric World Modeling,object_memory,https://arxiv.org/abs/2603.29090,abstract,"hierarchical causal object states","latent state-machine transition","causal hierarchy","prediction/planning","no certified safety claim","latest hierarchical object-state overlap"
P32,2018,Unsupervised Predictive Memory in a Goal-Directed Agent (MERLIN),world_model_memory,https://arxiv.org/abs/1803.10760,full,"external episodic memory written by predictive model","recurrent controller writes/reads memory each step","unsupervised prediction of observations/rewards","goal-directed policy","empirical memory benefit","predictive grounding of memory before task control"
P33,2018,Learning Latent Dynamics for Planning from Pixels (PlaNet),world_model_memory,https://arxiv.org/abs/1811.04551,method,"deterministic and stochastic recurrent state","RSSM posterior/prior update","observation/reward reconstruction and KL","latent MPC","model-based performance bounds absent","canonical structured recurrent state"
P34,2019,Dream to Control: Learning Behaviors by Latent Imagination (Dreamer),world_model_memory,https://arxiv.org/abs/1912.01603,method,"RSSM latent memory","recurrent prior/posterior update","reconstruction reward and dynamics losses","actor-critic in imagination","empirical only","latent memory grounded by world modeling"
P35,2021,Mastering Atari with Discrete World Models (DreamerV2),world_model_memory,https://arxiv.org/abs/2010.02193,method,"discrete recurrent world-model state","RSSM update","observation/reward/discount prediction","imagined control","empirical only","strong generic latent-memory baseline"
P36,2023,Mastering Diverse Domains through World Models (DreamerV3),world_model_memory,https://arxiv.org/abs/2301.04104,method,"normalized RSSM latent","recurrent latent dynamics","multi-head world-model prediction","imagined control","empirical robustness","generic world model already offers multi-head grounding"
P37,2022,Efficiently Modeling Long Sequences with Structured State Spaces (S4),state_space_memory,https://arxiv.org/abs/2111.00396,method,"linear state-space memory","structured linear recurrence/convolution","sequence loss","generic sequence modeling","stability/representation results not control sufficiency","structured SSM baseline"
P38,2023,Simplified State Space Layers for Sequence Modeling (S5),state_space_memory,https://arxiv.org/abs/2208.04933,method,"multi-input multi-output state-space memory","parallel structured recurrence","sequence prediction","generic sequence modeling","no module-specific control theorem","compact SSM comparator"
P39,2025,Partially Observable Reinforcement Learning with Memory Traces,memory_rl,https://arxiv.org/abs/2503.15200,abstract+method,"memory traces from partial observations","trace accumulation","POMDP learning objective","policy/value","empirical/theoretical POMDP treatment","recent recurrent-memory RL baseline"
P40,2026,Why Linear Recurrent Memory Works in Partially Observable Reinforcement Learning,memory_rl,https://arxiv.org/abs/2605.31261,abstract,"linear recurrent agent state","linear recurrence","value/control objective","POMDP policy","recent analysis of recurrent memory expressivity","direct theory overlap for learned memory"
P41,2026,AURA: Action-Gated Memory for Robot Policies at Constant VRAM,memory_robotics,https://arxiv.org/abs/2606.02775,abstract,"action-gated robot-policy memory","selective write conditioned on action","task-policy training","robot action policy","empirical memory efficiency","latest action-grounded write mechanism"
P42,2026,HERA: Historical Evidence Routing Adapter for Physical Prediction in Latent World Models,memory_robotics,https://arxiv.org/abs/2608.05523,abstract,"routed historical evidence","query-dependent history routing","physical-prediction objective","latent world-model prediction","empirical physical grounding","latest history routing overlap"
P43,2026,Chronos: A Physics-Informed Full-History Framework for Non-Markovian Long-Horizon Manipulation,memory_robotics,https://arxiv.org/abs/2606.30318,abstract,"full-history physics memory","long-history recurrent/state-space update","physics-informed losses","manipulation control","empirical/theory as stated by paper","latest physics-grounded memory overlap"
P44,2022,Approximate Information States for Worst-case Control of Uncertain Systems,information_state,https://arxiv.org/abs/2203.15271,full,"compressed uncertain-variable information state","recursive self-predictive update","terminal-cost and transition sufficiency conditions","worst-case dynamic programming","value error accumulates as terminal error plus Lipschitz-weighted transition-set errors","directly covers approximate control-sufficient memory bounds"
P45,2023,Approximate Information States for Worst-Case Control and Learning in Uncertain Systems,information_state,https://arxiv.org/abs/2301.05089,method,"learned approximate information state","recursive latent update","cost and dynamics approximation","control and learning","performance-loss bounds","modern extension of P44"
P46,2021,An Information-state based Approach to the Optimal Output Feedback Control of Nonlinear Systems,information_state,https://arxiv.org/abs/2107.08086,full,"information state for output-feedback nonlinear control","recursive estimator/update","state sufficient for optimal output feedback","optimal controller","exact information-state result","direct overlap with memory-as-control-state"
P47,2024,Agent-state based policies in POMDPs: Beyond belief-state MDPs,information_state,https://arxiv.org/abs/2409.15703,abstract+method,"finite agent state","recursive agent-state update","approximate Markov/sufficiency conditions","POMDP policy","performance bounds for agent-state policies","learned finite memory already formalized"
P48,2020,Learning Invariant Representations for Reinforcement Learning without Reconstruction (DBC),control_representation,https://arxiv.org/abs/2006.10742,full,"bisimulation latent","encoder and latent dynamics updates","reward and transition similarity","policy/value","value loss bounded by bisimulation distance; fixed-point semantics","direct overlap with representation-error to value bounds"
P49,2023,Towards Control-Centric Representations in Reinforcement Learning from Images,control_representation,https://arxiv.org/abs/2310.16655,abstract+method,"control-centric visual latent","learned temporal representation","action-conditioned invariance/control objectives","RL policy","empirical control relevance","control grounding without modular routing"
P50,2020,Learning Task-Driven Control Policies via Information Bottlenecks,control_representation,https://arxiv.org/abs/2002.01428,full,"task-driven bottleneck latent","policy encoder updated by policy gradient and MI penalty","minimal information retained for control","robot control policy","robustness bound via entropic risk/IB formulation","direct overlap with grounded bottleneck"
P51,2018,Task-Driven Estimation and Control via Information Bottlenecks,control_representation,https://arxiv.org/abs/1809.07874,method,"task-sufficient estimator latent","estimation/control co-design","IB between observation and control-relevant state","control","task-driven estimation theorem","predates proposed module-specific bottleneck idea"
P52,2019,Learning Representations in Reinforcement Learning: An Information Bottleneck Approach,control_representation,https://arxiv.org/abs/1911.05695,abstract+method,"compressed RL representation","learned encoder","variational information bottleneck","policy/value","IB objective","generic bottleneck baseline"
P53,2021,KalmanNet: Neural Network Aided Kalman Filtering for Partially Known Dynamics,observer,https://arxiv.org/abs/2107.10043,full,"Kalman structure plus learned gain memory","GRU learns gain from innovations and state differences","state-estimation loss and known dynamics","state estimator for downstream control","no safety guarantee","hybrid analytic/learned observer"
P54,2022,Split-KalmanNet: A Robust Model-Based Deep Learning Approach for SLAM,observer,https://arxiv.org/abs/2210.09636,method,"split learned Kalman components","recursive Kalman update","state-estimation objective","SLAM","empirical robustness","modular learned observer"
P55,2023,Bayesian KalmanNet: Quantifying Uncertainty in Deep Learning Augmented Kalman Filter,observer,https://arxiv.org/abs/2309.03058,method,"Bayesian uncertainty over KalmanNet","recursive filtering","Bayesian uncertainty objective","uncertain state estimate","posterior uncertainty not hard certification","learned uncertainty channel"
P56,2023,Adaptive KalmanNet: Data-Driven Kalman Filter with Fast Adaptation,observer,https://arxiv.org/abs/2309.07016,method,"adaptive learned filter memory","online fast adaptation","state-estimation loss","tracking/filtering","empirical adaptation","online memory update comparator"
P57,2022,Neural Observer with Lyapunov Stability Guarantee for Uncertain Nonlinear Systems,observer,https://arxiv.org/abs/2208.13006,full,"neural observer state","recursive observer dynamics","Lyapunov-constrained observer training","state feedback","estimation-error stability under stated assumptions","strongest observer-theory overlap"
P58,2020,Guaranteeing Safety of Learned Perception Modules via Measurement-Robust Control Barrier Functions,safety_memory,https://arxiv.org/abs/2010.16001,full,"point estimate plus state-dependent error bound","measurement-to-state map each step","pointwise perception-error bound","robust CBF controller","forward invariance conditional on valid error bound","directly covers learned/certified channel separation"
P59,2021,Learning Robust Output Control Barrier Functions from Safe Expert Demonstrations,safety_memory,https://arxiv.org/abs/2111.09971,method,"output-history safety representation","learned output CBF","expert-demonstration safety loss","output-feedback safe control","robust OCBF conditions","direct output-memory safety overlap"
P60,2024,Confidence-Aware Safe and Stable Control of Control-Affine Systems,safety_memory,https://arxiv.org/abs/2403.09067,method,"state estimate and confidence","online confidence update","confidence-aware robust constraints","safe/stable controller","conditional safety result","uncertainty-to-constraint routing"
P61,2023,Safe Perception-Based Control under Stochastic Sensor Uncertainty using Conformal Prediction,safety_memory,https://arxiv.org/abs/2304.00194,method,"perception estimate plus conformal set","recalibrated prediction set","coverage-calibrated uncertainty","robust controller","probabilistic safety conditional on conformal assumptions","certified uncertainty contraction link"
P62,2023,Belief Control Barrier Functions for Risk-aware Control,safety_memory,https://arxiv.org/abs/2309.06499,full,"belief mean/covariance","continuous belief dynamics plus discrete Kalman updates","risk-defined safe belief set","BCBF-QP","forward invariance between observations and probabilistic reset bound","belief is already a safety-sufficient memory"
P63,2025,Risk-Aware Robot Control in Dynamic Environments Using Belief Control Barrier Functions,safety_memory,https://arxiv.org/abs/2504.04097,full,"sample-based robot/object beliefs","belief propagation and sampling","VaR/CVaR risk grounding","risk-aware CBF-QP","probabilistic guarantee under sampling assumptions","dynamic-obstacle belief safety closest work"
P64,2026,Output Feedback Backup Control Barrier Functions: Safety Guarantees Under Input Bounds and State Estimation Error,safety_memory,https://arxiv.org/abs/2604.19893,abstract+method,"observer estimate/error bound plus backup state","output-feedback observer and backup propagation","estimation-error-aware backup safety","backup CBF filter","safety under input bounds and estimation error","latest direct overlap with certified memory channel"
P65,2026,Safety-critical Control Under Partial Observability: Reach-Avoid POMDP meets Belief Space Control,safety_memory,https://arxiv.org/abs/2603.10572,abstract,"belief state","Bayesian belief update","conformal finite-horizon belief safety","reach-avoid controller","probabilistic belief-space guarantee","latest POMDP-safety overlap"
P66,2024,A Modular Safety Filter for Safety-Certified Cyber-Physical Systems,modular_safety,https://arxiv.org/abs/2403.15854,full,"controller signal plus independent safety model/state","predictive backup update","hard safe set and backup trajectory","add-on safety filter","safety independent of nominal controller/attack under assumptions","direct non-interference/separation overlap"
P67,2023,The Safety Filter: A Unified View of Safety-Critical Control in Autonomous Systems,modular_safety,https://arxiv.org/abs/2309.05837,method,"task controller plus safety state","filter-specific update","certified admissible set","minimally modified control","survey/unification of modular separation","makes generic non-interference claim non-novel"
P68,2024,From Raw Data to Safety: Reducing Conservatism by Set Expansion,modular_safety,https://arxiv.org/abs/2403.15883,full,"input-output trajectory memory and safe set","online/offline set expansion","data-consistent safety set","data-driven safety filter","safe-set expansion under noiseless LTI assumptions","direct safe-set expansion/permissiveness overlap"
P69,2023,Safety Control of Uncertain MIMO Systems Using Dynamic Output Feedback Barrier Pairs,modular_safety,https://arxiv.org/abs/2308.00326,abstract+method,"dynamic output-feedback state","dynamic controller update","barrier-pair condition","MIMO safe control","safety theorem for output feedback","dynamic safety memory overlap"
P70,2021,Safe Feedback Motion Planning in Unknown Environments: An Instantaneous Local Control Barrier Function Approach,modular_safety,https://arxiv.org/abs/2106.05341,method,"local perceptual geometry","recomputed local barrier","instantaneous local safety geometry","feedback motion planning","local safety guarantee","local memory may be unnecessary when current geometry suffices"
P71,2026,Predictive Objectives Discard Exogenous Control-Relevant Features: A Controlled Mechanistic Study,control_representation,https://arxiv.org/abs/2606.30068,abstract,"predictive latent","predictive representation update","future prediction objective","control probe","controlled counterexample to prediction-equals-control sufficiency","latest direct warning against generic grounding losses"
P72,2024,Learning the Uncertainty Sets of Linear Control Systems via Set Membership: A Non-asymptotic Analysis,set_membership,https://proceedings.mlr.press/v235/li24ci.html,full,"feasible system set","set-membership update from bounded-noise trajectories","non-asymptotic uncertainty-set estimation","robust control uncertainty","finite-sample convergence rates for set-membership estimation","directly covers contraction-rate theory under structured linear assumptions"
P73,2024,Uncertainty Quantification of Set-Membership Estimation in Control and Perception: Revisiting the Minimum Enclosing Ellipsoid,set_membership,https://proceedings.mlr.press/v242/tang24a.html,full,"set-membership feasible set","constraint accumulation and pruning","minimum enclosing ellipsoid overapproximation","control and pose estimation","certified coverage with computational constraint pruning","directly covers the learned-proposal compute positioning's deterministic baseline"
P74,2018,Learning for Constrained Optimization: Identifying Optimal Active Constraint Sets,constraint_selection,https://arxiv.org/abs/1802.09639,method,"active constraint set","streaming learned active-set selection","physics-aligned active-set representation","repeated constrained optimization","convergence guarantees for learned relevant active sets","direct learned constraint-selection overlap"
P75,2021,Certified Control: An Architecture for Verifiable Safety of Autonomous Vehicles,proposal_verifier,https://arxiv.org/abs/2104.06178,full,"controller-generated certificate","proposal assembled by complex controller; monitor checks","small trusted verifier","autonomous-vehicle execution","finding versus checking separation preserves certification","direct proposal-verifier architecture overlap"
P76,2024,Adaptive Learning-based Model Predictive Control for Uncertain Interconnected Systems: A Set Membership Identification Approach,set_membership,https://arxiv.org/abs/2404.16514,method,"coupling uncertainty set","online set-membership learning then MPC adaptation","learned uncertainty set remains robust-control input","adaptive tube MPC","recursive feasibility and stability under learned uncertainty set","direct learning-to-smaller-robust-set control overlap"
