Category,Title,Authors,Year,Venue,UAV type,Prediction target,Inputs,Energy model type,Temporal method,Uncertainty method,Uses bootstrapping?,Uses Monte Carlo?,Uses trajectory rollout?,Dataset,Evaluation metrics,Key result,Major limitation,Direct relevance,Paper type,Primary source
"A/C","Energy Use and Life Cycle Greenhouse Gas Emissions of Drones for Commercial Package Delivery","Joshuah K. Stolaroff; Constantine Samaras; Emma R. O'Neill; Alia Lubers; Alexandra S. Mitchell; Daniel Ceperley",2018,"Nature Communications","Small delivery quadrotor","Flight and delivery energy","Payload; speed; distance; warehouse/charging context","Physics/empirical","Flight-energy integration and life-cycle model","Scenario analysis","No","No","Yes","Real flight measurements plus scenario simulation","Energy/package; emissions","Quantifies how package mass, range, and warehousing affect delivery energy and emissions","Not an online control estimator","Provides real-flight evidence that distance alone is insufficient across payload/context","method + benchmark","https://doi.org/10.1038/s41467-017-02411-5"
"B/C","Drone Flight Data Reveal Energy and Greenhouse Gas Emissions Savings for Very Small Package Delivery","Thiago A. Rodrigues; Jay Patrikar; Natalia L. Oliveira; H. Scott Matthews; Sebastian Scherer; Constantine Samaras",2022,"Patterns","DJI Matrice 100 quadcopter","Flight/mission energy","Position; speed; acceleration; wind; payload; measured voltage/current","Data-driven empirical","Power regression integrated over delivery flight","Empirical variability","No","No","Yes","Real high-resolution flight dataset","Energy prediction and emissions","Produces a simple empirical model for similar small drones below 12 m/s using real delivery-flight data","Limited platform/speed envelope","Strong real-flight dataset candidate for later calibration of the instantaneous layer","method + benchmark","https://doi.org/10.1016/j.patter.2022.100569"
"C","Energy-Aware Coverage Path Planning of UAVs","Carmelo Di Franco; Giorgio Buttazzo",2015,"IEEE ICARSC","Quadrotor","Coverage-path energy","Path geometry; speed; turn/segment structure","Physics/empirical","Path decomposition and energy integration","None","No","No","Yes","Simulation and UAV experiments","Estimated/actual energy; coverage","Optimizes coverage speed/path using an energy model rather than Euclidean distance alone","Known coverage paths; no online distributional uncertainty","Baseline evidence for trajectory rollout/integration","pure method","https://doi.org/10.1109/ICARSC.2015.17"
"C","Energy-Aware Spiral Coverage Path Planning for UAV Photogrammetric Applications","Taua M. Cabreira; Carmelo Di Franco; Paulo R. Ferreira; Giorgio C. Buttazzo",2018,"IEEE Robotics and Automation Letters","Quadrotor","Coverage mission energy","Polygon geometry; altitude; camera overlap; segment speed","Physics/empirical","Path-specific speed optimization and energy integration","None","No","No","Yes","Over 3,500 simulated areas and real flights","Time and energy savings; prediction precision","Real flights report 7.7% energy improvement and the revised model improves energy-estimation precision by 13.41%","Specialized photogrammetry paths","Demonstrates model-based trajectory energy can be both interpretable and accurate","method + benchmark","https://doi.org/10.1109/LRA.2018.2854967"
"E","Autonomous Recharging and Flight Mission Planning for Battery-Operated Autonomous Drones","Rashid Alyassi; Majid Khonji; Areg Karapetyan; Sid Chi-Kin Chau; Khaled Elbassioni; Chien-Ming Tseng",2023,"IEEE Transactions on Automation Science and Engineering","Multirotor","Tour energy and recharge feasibility","Route; vehicle; meteorological/context variables","Hybrid learned energy + optimization","Learned expenditure model embedded in asymmetric TSP planning","Deterministic feasibility using model estimates","No","No","Yes","Simulation and real experiments","Mission time; energy feasibility","Jointly plans flight and recharging with a learned energy model and approximation guarantees","Planning assumes model estimates are adequate; no online calibrated tail bound","Closest charging-planning comparator; uses model+planning rather than TD return quantiles","method + benchmark","https://doi.org/10.1109/TASE.2022.3175565"
"E","Energy-Aware Routing Algorithm for Mobile Ground-to-Air Charging","Bill Cai; Fei Lu; Lifeng Zhou",2023,"arXiv preprint","UAV-UGV team","Route feasibility and mission duration","UAV/UGV energy budgets; guided tour; charging opportunities","Planning/model-based","TSP guide plus Monte Carlo Tree Search","Search uncertainty, not calibrated energy risk","No","Yes","Yes","Simulation and proof-of-concept experiment","Mission time; runtime; feasibility","Uses MCTS to refine energy-constrained routes with a mobile charger","Energy model and uncertainty treatment are application-specific","Relevant planning baseline for charging but not a learned energy-to-go estimator","method + benchmark","https://arxiv.org/abs/2310.07729"
"E","AutoCharge: Autonomous Charging for Perpetual Quadrotor Missions","Alessandro Saviolo; Jeffrey Mao; Roshan Balu T M B; Vivek Radhakrishnan; Giuseppe Loianno",2023,"IEEE International Conference on Robotics and Automation (ICRA)","Quadrotor","Charging/docking success and perpetual operation","Relative docking pose; charging hardware state","System/hardware","Perception/control plus charging tether","Hardware repeatability","No","No","No","Real quadrotor hardware","Docking repeatability; mission duration","Demonstrates a 10-hour perpetual quadrotor mission with repeated charge cycles","Does not estimate mission energy or switching risk","Clarifies that recharge continuity is a systems problem separate from energy-to-go prediction","system/tool","https://doi.org/10.1109/ICRA48891.2023.10161503"
"C/E","Delivery by Drones with Arbitrary Energy Consumption Models: A New Formulation Approach","Amir Ahmadi-Javid; Mahla Meskar",2022,"arXiv preprint","Delivery drones","Route energy feasibility","Arbitrary segment energy function; payload; hovering/time windows","Optimization/model-agnostic","Linearized routing formulation over supplied energy model","None","No","No","Yes","255 benchmark instances and larger synthetic instances","Optimality gap; runtime","Allows nonconvex energy functions without approximating the energy model inside routing","Does not learn or calibrate the supplied energy model","Shows downstream planning can remain agnostic to whether energy comes from physics, rollout, or learning","pure method","https://arxiv.org/abs/2211.00842"
"F","Learning to Predict by the Methods of Temporal Differences","Richard S. Sutton",1988,"Machine Learning","N/A","Expected return/value","State features and rewards","RL value-based","TD(0) and TD(lambda)","None","Yes","No","No","Synthetic prediction tasks","Prediction error and convergence behavior","Introduces TD prediction as bootstrapping between Monte Carlo and dynamic programming","Classical/tabular or linear setting; not neural SSP distributional stability","Defines the bootstrap mechanism under diagnosis","theory/proof","https://doi.org/10.1023/A:1022633531479"
"F","An Analysis of Temporal-Difference Learning with Function Approximation","John N. Tsitsiklis; Benjamin Van Roy",1997,"IEEE Transactions on Automatic Control","N/A","Expected discounted value","Linear state features","RL value-based","Linear TD","None","Yes","No","No","Theory and numerical examples","Convergence/error bounds","Gives convergence and approximation results under stated linear/on-policy conditions","Does not justify arbitrary nonlinear gamma=1 TD","Supports caution against extrapolating tabular/linear convergence to the current critic","theory/proof","https://doi.org/10.1109/9.580874"
"F","Fast Gradient-Descent Methods for Temporal-Difference Learning with Linear Function Approximation","Richard S. Sutton; Hamid Reza Maei; Doina Precup; Shalabh Bhatnagar; David Silver; Csaba Szepesvari; Eric Wiewiora",2009,"International Conference on Machine Learning (ICML)","N/A","Expected value","Linear features; off-policy transitions","RL value-based","GTD/GTD2/TDC gradient methods","None","Yes","No","No","Benchmark MDPs","MSPBE and convergence","Provides true stochastic-gradient TD algorithms with off-policy linear convergence properties","Linear approximation and extra auxiliary weights; not directly neural quantile TD","Candidate if bootstrapped policy evaluation remains necessary","theory/proof","https://doi.org/10.1145/1553374.1553501"
"F","A Distributional Perspective on Reinforcement Learning","Marc G. Bellemare; Will Dabney; Remi Munos",2017,"International Conference on Machine Learning (ICML)","N/A","Full return distribution","State-action and reward transitions","Distributional RL","Categorical distributional Bellman update","Categorical projected distribution","Yes","No","No","Atari simulation","Control score; distributional analysis","Establishes distributional Bellman structure and exposes instability distinctions between evaluation and control","Discounted bounded-return categorical setting; not four sparse SSP quantiles","Shows projection choice is part of the algorithm, not an interchangeable detail","theory + benchmark","https://proceedings.mlr.press/v70/bellemare17a.html"
"F","Distributional Reinforcement Learning with Quantile Regression","Will Dabney; Mark Rowland; Marc G. Bellemare; Remi Munos",2018,"AAAI Conference on Artificial Intelligence","N/A","Full return distribution through quantile locations","State-action transitions","Distributional RL","QR-DQN; pairwise quantile TD","Uniform equal-probability atoms at quantile midpoints","Yes","No","No","Atari simulation","Atari score; Wasserstein approximation","Derives a Wasserstein-consistent distributional projection with fixed uniform probabilities and adjustable locations","Discounted Atari control; theory does not cover arbitrary nonuniform sparse masses","Directly contradicts treating the current four custom-weighted quantiles as standard QR-DQN","theory + benchmark","https://ojs.aaai.org/index.php/AAAI/article/view/11791"
"F","Implicit Quantile Networks for Distributional Reinforcement Learning","Will Dabney; Georg Ostrovski; David Silver; Remi Munos",2018,"International Conference on Machine Learning (ICML)","N/A","Continuous return quantile function","State-action and sampled quantile fraction","Distributional RL","Implicit quantile-function TD","Sampled quantile fractions and distortion risk measures","Yes","No","No","Atari simulation","Atari score; risk-sensitive behavior","Learns the full quantile function rather than four fixed tail landmarks","Still bootstrapped and evaluated in discounted control; more complex than needed here","A principled alternative if a true return distribution is later necessary","method + benchmark","https://proceedings.mlr.press/v80/dabney18a.html"
"F","An Analysis of Categorical Distributional Reinforcement Learning","Mark Rowland; Marc Bellemare; Will Dabney; Remi Munos; Yee Whye Teh",2018,"AISTATS","N/A","Categorical return distribution","MDP transitions","Distributional RL","Projected distributional Bellman operator","Cramer projection","Yes","No","No","Theory/tabular experiments","Convergence under projection","Formalizes that convergence is tied to the chosen projected operator and metric","Categorical/tabular focus, not nonlinear quantile SSP","Supports diagnosing the custom projection rather than blaming gamma alone","theory/proof","https://proceedings.mlr.press/v84/rowland18a.html"
"F","Safe and Efficient Off-Policy Reinforcement Learning","Remi Munos; Tom Stepleton; Anna Harutyunyan; Marc G. Bellemare",2016,"NeurIPS","N/A","Expected return","Multi-step off-policy transitions","RL value-based","Retrace(lambda)","None","Yes","No","No","Atari simulation and theory","Control score; contraction","Derives a contractive multi-step operator with variance/off-policy corrections","Designed for discounted control, not deterministic gamma=1 energy evaluation","Supports testing multi-step targets to reduce one-step recursive dependence","theory + benchmark","https://papers.nips.cc/paper_files/paper/2016/hash/c3992e9a68c5ae12bd18488bc579b30d-Abstract.html"
"F","True Online TD(lambda)","Harm van Seijen; Richard S. Sutton",2014,"International Conference on Machine Learning (ICML)","N/A","Expected value","Sequential transitions and eligibility traces","RL value-based","Exact online forward-view TD(lambda)","None","Yes","No","No","Standard prediction benchmarks","Prediction performance","Makes online TD(lambda) exactly match a revised forward view at the same asymptotic cost","Primarily linear expected-value prediction","Principled alternative to an ad hoc fixed n-step target","method + benchmark","https://proceedings.mlr.press/v32/seijen14.html"
"F","Why Target Networks Stabilise Temporal Difference Methods","Mattie Fellows; Matthew J. A. Smith; Shimon Whiteson",2023,"International Conference on Machine Learning (ICML)","N/A","Expected policy value","Off-policy transitions; nonlinear approximator","RL value-based","Partially fitted policy evaluation with target networks","None","Yes","No","No","Theory and control benchmarks","Convergence/stability","Shows target networks mitigate conditioning only under regularity and a suitably tuned update frequency","Does not imply every nonlinear distributional TD is stable","Explains why changing tau can alter drift but cannot repair a wrong projection","theory/proof","https://arxiv.org/abs/2302.12537"
"F","Target Network and Truncation Overcome the Deadly Triad in Q-Learning","Zaiwei Chen; John-Paul Clarke; Siva Theja Maguluri",2023,"SIAM Journal on Mathematics of Data Science","N/A","Expected action value","Off-policy samples with function approximation","RL value-based","Target network plus value truncation","Bounded/truncated values","Yes","No","No","Theory and numerical examples","Finite-time error and convergence","Establishes stability under explicit target-network and truncation conditions","Requires algorithmic truncation/assumptions absent from current code","Shows a target network alone is not a general divergence guarantee","theory/proof","https://doi.org/10.1137/22M1499261"
"F","The Pitfalls of Regularization in Off-Policy TD Learning","Gaurav Manek; J. Zico Kolter",2022,"NeurIPS","N/A","Expected value","Off-policy transitions","RL value-based","Regularized TD counterexamples","None","Yes","No","No","Counterexamples including neural networks","Divergence/error","Shows common regularization does not generally eliminate TD instability, including neural examples","Focuses off-policy deadly-triad settings; our data are nearly on-policy","Rules out proposing weight decay or smaller norms as a sufficient remedy","theory/proof","https://proceedings.neurips.cc/paper_files/paper/2022/hash/e78457d4a04b8565f1fe5077df13cddb-Abstract-Conference.html"
"F","Target Networks and Over-parameterization Stabilize Off-policy Bootstrapping with Function Approximation","Fengdi Che; Chenjun Xiao; Jincheng Mei; Bo Dai; Ramki Gummadi; Oscar A. Ramirez; Christopher K. Harris; A. Rupam Mahmood; Dale Schuurmans",2024,"International Conference on Machine Learning (ICML)","N/A","Expected policy value","Off-policy transitions; overparameterized linear approximator","RL value-based","Bootstrapped TD with target network","High-probability bounds","Yes","No","No","Baird counterexample and Four Rooms","Value-estimation error","Proves weaker convergence conditions for a specific overparameterized linear setting","Does not cover the current nonlinear monotone quantile projection","Further limits what can be inferred from merely having a target network","theory + benchmark","https://proceedings.mlr.press/v235/che24a.html"
"F","Batch Policy Learning under Constraints","Hoang Le; Cameron Voloshin; Yisong Yue",2019,"International Conference on Machine Learning (ICML)","N/A","Expected objective and constraint values","Fixed logged transitions","Fitted value/OPE","Fitted-Q-style off-policy evaluation","PAC bounds","Yes","No","No","Simulated navigation and car driving","OPE error; constraint satisfaction","Provides a practical fitted policy-evaluation subroutine with finite-sample analysis","Discounted batch setting and policy-level values, not online SSP tails","Relevant scalar fitted-evaluation baseline and warning about approximation/distribution shift","theory + benchmark","https://proceedings.mlr.press/v97/le19a.html"
"F","Bootstrapping Fitted Q-Evaluation for Off-Policy Inference","Botao Hao; Xiang Ji; Yaqi Duan; Hao Lu; Csaba Szepesvari; Mengdi Wang",2021,"International Conference on Machine Learning (ICML)","N/A","Policy value and estimator uncertainty","Fixed logged transitions","Fitted value/OPE","FQE plus statistical bootstrap resampling","Asymptotic confidence intervals","Yes","Yes","No","Classical RL benchmarks","Coverage; variance; runtime","Derives efficient distributionally consistent inference for FQE error in tabular/linear regimes","Statistical bootstrap is distinct from Bellman bootstrapping and assumptions are limited","Useful distinction between calibrated estimator uncertainty and raw return quantiles","theory + benchmark","https://proceedings.mlr.press/v139/hao21b.html"
"F","Off-Policy Fitted Q-Evaluation with Differentiable Function Approximators: Z-Estimation and Inference Theory","Ruiqi Zhang; Xuezhou Zhang; Chengzhuo Ni; Mengdi Wang",2022,"International Conference on Machine Learning (ICML)","N/A","Expected policy value and confidence","Fixed logged transitions; differentiable approximator","Fitted value/OPE","Neural/differentiable FQE","Asymptotic normality and finite-sample bounds","Yes","No","No","Theory and RL experiments","Estimation error; confidence","Connects FQE error to tangent space, reward, and distribution shift for differentiable approximators","Still requires regularity/coverage and targets mean value","Supports separating point estimation from statistically justified uncertainty","theory/proof","https://proceedings.mlr.press/v162/zhang22al.html"
